# Codepoint	GlyphName	Category	SourceFile	SourceIndex
U+E800	on_p	onset	on_001_p.svg	index=1
U+E801	on_t	onset	on_002_t.svg	index=2
U+E802	on_m	onset	on_003_m.svg	index=3
U+E803	on_n	onset	on_004_n.svg	index=4
U+E804	on_h	onset	on_005_h.svg	index=5
U+E805	on_k	onset	on_006_k.svg	index=6
U+E806	on_s	onset	on_007_s.svg	index=7
U+E807	on_ts	onset	on_008_ts.svg	index=8
U+E808	on_l	onset	on_009_l.svg	index=9
U+E809	on_r	onset	on_010_r.svg	index=10
U+E810	nu_i	nucleus	nu_001_i.svg	index=1
U+E811	nu_in	nucleus	nu_002_in.svg	index=2
U+E812	nu_a	nucleus	nu_003_a.svg	index=3
U+E813	nu_an	nucleus	nu_004_an.svg	index=4
U+E814	nu_o	nucleus	nu_005_o.svg	index=5
U+E815	nu_e	nucleus	nu_006_e.svg	index=6
U+E816	nu_u	nucleus	nu_007_u.svg	index=7
U+E817	nu_un	nucleus	nu_008_un.svg	index=8
U+E818	nu_yi	nucleus	nu_009_yi.svg	index=9
U+E819	nu_yin	nucleus	nu_010_yin.svg	index=10
U+E81A	nu_wa	nucleus	nu_011_wa.svg	index=11
U+E81B	nu_wan	nucleus	nu_012_wan.svg	index=12
U+E81C	nu_wo	nucleus	nu_013_wo.svg	index=13
U+E81D	nu_ye	nucleus	nu_014_ye.svg	index=14
U+E81E	nu_wu	nucleus	nu_015_wu.svg	index=15
U+E81F	nu_wun	nucleus	nu_016_wun.svg	index=16
U+E820	nu_wi	nucleus	nu_017_wi.svg	index=17
U+E821	nu_win	nucleus	nu_018_win.svg	index=18
U+E822	nu_ya	nucleus	nu_019_ya.svg	index=19
U+E823	nu_yan	nucleus	nu_020_yan.svg	index=20
U+E824	nu_yo	nucleus	nu_021_yo.svg	index=21
U+E825	nu_we	nucleus	nu_022_we.svg	index=22
U+E826	nu_yu	nucleus	nu_023_yu.svg	index=23
U+E827	nu_yun	nucleus	nu_024_yun.svg	index=24
U+E900	sy_pi	syllable	sy_001_pi.svg	index=1
U+E901	sy_pin	syllable	sy_002_pin.svg	index=2
U+E902	sy_pa	syllable	sy_003_pa.svg	index=3
U+E903	sy_pan	syllable	sy_004_pan.svg	index=4
U+E904	sy_po	syllable	sy_005_po.svg	index=5
U+E905	sy_pe	syllable	sy_006_pe.svg	index=6
U+E906	sy_pu	syllable	sy_007_pu.svg	index=7
U+E907	sy_pun	syllable	sy_008_pun.svg	index=8
U+E908	sy_pyi	syllable	sy_009_pyi.svg	index=9
U+E909	sy_pyin	syllable	sy_010_pyin.svg	index=10
U+E90A	sy_pwa	syllable	sy_011_pwa.svg	index=11
U+E90B	sy_pwan	syllable	sy_012_pwan.svg	index=12
U+E90C	sy_pwo	syllable	sy_013_pwo.svg	index=13
U+E90D	sy_pye	syllable	sy_014_pye.svg	index=14
U+E90E	sy_pwu	syllable	sy_015_pwu.svg	index=15
U+E90F	sy_pwun	syllable	sy_016_pwun.svg	index=16
U+E910	sy_pwi	syllable	sy_017_pwi.svg	index=17
U+E911	sy_pwin	syllable	sy_018_pwin.svg	index=18
U+E912	sy_pya	syllable	sy_019_pya.svg	index=19
U+E913	sy_pyan	syllable	sy_020_pyan.svg	index=20
U+E914	sy_pyo	syllable	sy_021_pyo.svg	index=21
U+E915	sy_pwe	syllable	sy_022_pwe.svg	index=22
U+E916	sy_pyu	syllable	sy_023_pyu.svg	index=23
U+E917	sy_pyun	syllable	sy_024_pyun.svg	index=24
U+E918	sy_ti	syllable	sy_025_ti.svg	index=25
U+E919	sy_tin	syllable	sy_026_tin.svg	index=26
U+E91A	sy_ta	syllable	sy_027_ta.svg	index=27
U+E91B	sy_tan	syllable	sy_028_tan.svg	index=28
U+E91C	sy_to	syllable	sy_029_to.svg	index=29
U+E91D	sy_te	syllable	sy_030_te.svg	index=30
U+E91E	sy_tu	syllable	sy_031_tu.svg	index=31
U+E91F	sy_tun	syllable	sy_032_tun.svg	index=32
U+E920	sy_tyi	syllable	sy_033_tyi.svg	index=33
U+E921	sy_tyin	syllable	sy_034_tyin.svg	index=34
U+E922	sy_twa	syllable	sy_035_twa.svg	index=35
U+E923	sy_twan	syllable	sy_036_twan.svg	index=36
U+E924	sy_two	syllable	sy_037_two.svg	index=37
U+E925	sy_tye	syllable	sy_038_tye.svg	index=38
U+E926	sy_twu	syllable	sy_039_twu.svg	index=39
U+E927	sy_twun	syllable	sy_040_twun.svg	index=40
U+E928	sy_twi	syllable	sy_041_twi.svg	index=41
U+E929	sy_twin	syllable	sy_042_twin.svg	index=42
U+E92A	sy_tya	syllable	sy_043_tya.svg	index=43
U+E92B	sy_tyan	syllable	sy_044_tyan.svg	index=44
U+E92C	sy_tyo	syllable	sy_045_tyo.svg	index=45
U+E92D	sy_twe	syllable	sy_046_twe.svg	index=46
U+E92E	sy_tyu	syllable	sy_047_tyu.svg	index=47
U+E92F	sy_tyun	syllable	sy_048_tyun.svg	index=48
