PPSA,PSA_gloss,PSA,Zahwãhh,Zahwãhh Gloss,Transliteration,Zahwãhh glyphs
sohuhumanki,NICARAGUA,sa.hu.mã.k,zahwãhh,Zahwãhh,sa.hu.mã.k,
sosesosetsene,MAYOR,sə.tsã,zetã,King,se.tã,
sosesose,HOUSE,sə.s,zuz,Family,su.ts,
hu,WATER,hu,hu,Water,hu,
astro,GROUND,sə.te.r,zeɾer,Ground/Floor,se.te.r,
iman,BREAST,mã,mã,Breast/Milk,mã,
tsan,ROPE,tsã,dã,Rope,tsã,
pak,BIG-TOE-CLAW,pa.k,bahh,Bigtoe-claw,pa.k,
se,WOOD,se,ze,Wood,se,
ram,DOMESTIC-PIG,ra.m,lã,PIG,ra.m,
ʔhas,FISH,ʔə.ha.s,ehas,Fish,e.ha.ts,
ʔrom,GREASE,ʔe.ro.m,eɾã,Grease/Paint,e.rã,
sorom,RANCID,se.ro.m,zeɾã,Rancid,se.rã,
ʔank,BONE,ʔã.k,ãhh,Bone,ã.k,
upon,EDIBLE-PLANT-MATTER,pã,bã,EDIBLE-PLANT-MATTER,pã,
pum,HANDCLAW,pu.m,buv,HANDCLAW,pũ,
mus,GIVE,mu.s,mus,Give,mu.s,
sik,TAKE,si.k,zihh,Own,si.k,
kemi,USE,ke.m,gib,Use/make use of,ke.m,
kemitsotan,SPEAK,kɪ.mi.tsɪ.sã,givitʃisã,Perform,ki.mi.tsi.sã,
luma,MOTION,lu.m,luv,Move,lu.m,
lante,SETTLE/LOWER,lã.t,lãt,Settle/Lower,lã.t,
ʔen,RISE/STAND,ʔĩ,ĩ,Rise/Stand,ĩ,
rokunk,HUNT,rʌ.kã.k,lehãhh,Sport,le.hã.k,
utun,HOME,tũ,duv,Home,tu.m,
ronst,COOK,sə.st,zet,Housework/Hospitality,se.t,
uukani,CLUTCH,ʌ.ka,eha,Hoard,e.ha,
tesint,BELLY/BIRTH-MOTHER,tsã.ni.t ,dãt,Birth-mother/bearer age people,tã.t,
mank,OBLIGATION/DEBT,mã.k,mãhh,Debt/Obligation/Duty/Honor,mã.k,
miw,ABOVE/FROM,myu,myu,MYU,myu,
pai,INTERIOR/WITHIN,pai,bwi,In,pya,
